COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M3_CNT,A15UP_M4_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶人口數,離婚人口數,喪偶人口數,資料時間
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,554,565,110,173,105Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,962,926,284,272,105Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,212,230,67,80,105Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,337,451,135,137,105Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,343,285,45,43,105Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,298,212,71,39,105Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,725,520,152,98,105Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,187,139,49,36,105Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,144,132,63,31,105Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,511,548,148,170,105Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,372,418,91,125,105Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,257,250,70,59,105Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,919,909,228,235,105Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,529,559,128,167,105Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,253,277,76,100,105Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,306,246,37,57,105Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,181,117,13,26,105Y
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,347,260,48,59,105Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,631,410,79,100,105Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,509,346,76,85,105Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,165,128,22,35,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,687,668,174,150,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,496,508,141,106,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,318,288,82,74,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,382,438,100,91,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,424,426,100,91,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,337,443,98,124,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,455,580,103,134,105Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,457,349,81,68,105Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,275,267,86,65,105Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,282,281,91,64,105Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,146,140,37,25,105Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,173,172,49,42,105Y
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,154,136,41,43,105Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,486,561,71,62,105Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,430,445,66,51,105Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,653,697,117,85,105Y
10014,臺東縣,10014010,臺東市,10014010-021,大同里,412,314,104,85,105Y
10014,臺東縣,10014010,臺東市,10014010-024,中山里,498,456,59,56,105Y
10014,臺東縣,10014010,臺東市,10014010-011,中心里,2159,1593,273,207,105Y
10014,臺東縣,10014010,臺東市,10014010-020,中正里,350,421,61,77,105Y
10014,臺東縣,10014010,臺東市,10014010-015,中華里,833,722,189,156,105Y
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,342,301,94,64,105Y
10014,臺東縣,10014010,臺東市,10014010-023,文化里,748,388,139,54,105Y
10014,臺東縣,10014010,臺東市,10014010-014,四維里,318,245,94,62,105Y
10014,臺東縣,10014010,臺東市,10014010-008,民生里,1459,1526,328,247,105Y
