COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10014,臺東縣,10014010,臺東市,10014010-045,知本里,102.65,2.75,300.58,30.49,12.55,17.93,142.86,105Y12M
10014,臺東縣,10014010,臺東市,10014010-004,南王里,106.15,2.67,779.51,31.5,11.72,19.78,168.77,105Y12M
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,112.94,2.73,639.75,34.97,14.23,20.74,145.73,105Y12M
10014,臺東縣,10014010,臺東市,10014010-042,建和里,112.24,2.68,306.03,37.51,13.81,23.7,171.6,105Y12M
10014,臺東縣,10014010,臺東市,10014010-017,建國里,111.98,2.46,853.32,34.97,10.45,24.52,234.78,105Y12M
10014,臺東縣,10014010,臺東市,10014010-044,建業里,107.45,2.62,1146.58,37.21,14.33,22.88,159.74,105Y12M
10014,臺東縣,10014010,臺東市,10014010-046,建農里,108.19,2.71,134.12,30.46,14.78,15.68,106.11,105Y12M
10014,臺東縣,10014010,臺東市,10014010-043,建興里,108.35,2.67,477.56,35.56,10.49,25.06,238.82,105Y12M
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,87.97,3.2,10791.08,59.63,41.43,18.2,43.93,105Y12M
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,117.28,2.69,163.32,32.97,16.74,16.24,97.01,105Y12M
10014,臺東縣,10014010,臺東市,10014010-016,強國里,113.12,2.66,7832.84,32.67,12.34,20.33,164.71,105Y12M
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,115.35,2.54,318.71,34.4,10.77,23.62,219.26,105Y12M
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,116.81,2.56,105.91,37.34,15.35,21.99,143.24,105Y12M
10014,臺東縣,10014010,臺東市,10014010-025,復國里,106.88,2.36,6244.59,34.95,12.71,22.24,175,105Y12M
10014,臺東縣,10014010,臺東市,10014010-027,復興里,106.45,2.35,3390.71,37.63,13.17,24.46,185.71,105Y12M
10014,臺東縣,10014010,臺東市,10014010-007,新生里,95.9,2.53,3302.03,28.89,12.66,16.22,128.11,105Y12M
10014,臺東縣,10014010,臺東市,10014010-029,新園里,113.78,2.52,515.38,33.22,15.26,17.96,117.67,105Y12M
10014,臺東縣,10014010,臺東市,10014010-037,新興里,97.46,2.39,1288.97,38.69,12.14,26.55,218.63,105Y12M
10014,臺東縣,10014010,臺東市,10014010-026,興國里,94.43,2.96,20214.83,62.92,40.44,22.48,55.6,105Y12M
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,99.25,2.77,541.53,33.84,15.35,18.49,120.44,105Y12M
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,106.51,2.5,1084.9,27.96,11.39,16.57,145.49,105Y12M
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,101.76,2.88,2210.15,30.97,14.42,16.55,114.79,105Y12M
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,110.88,2.97,799.4,34.69,15.09,19.6,129.84,105Y12M
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,119.27,3.03,198.54,39.49,15.66,23.83,152.17,105Y12M
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,94.71,2.6,5568.72,29.09,15.16,13.94,91.95,105Y12M
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,101.46,3.16,773.24,36.91,19.86,17.05,85.82,105Y12M
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,96.37,2.55,1259.49,37.3,16.18,21.12,130.58,105Y12M
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,95.13,2.27,5242.64,40.89,7.99,32.91,412,105Y12M
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,106.04,2.82,6330.69,47.39,19.08,28.32,148.44,105Y12M
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,119.89,2.49,80.93,39.33,12.44,26.89,216.22,105Y12M
10014,臺東縣,10014030,關山鎮,10014030-005,里里,95.27,2.73,395.43,41.61,17.13,24.48,142.86,105Y12M
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,120.75,2.75,137.16,39.84,17.66,22.18,125.56,105Y12M
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,139.7,2.78,31.54,42.54,16.04,26.5,165.28,105Y12M
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,111.68,2.8,127.14,45.05,13.11,31.94,243.6,105Y12M
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,105.08,2.91,729.46,39.57,19.33,20.24,104.74,105Y12M
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,100.53,2.95,86.66,29.21,20.7,8.51,41.08,105Y12M
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,104.9,2.61,126.5,26.77,17.68,9.09,51.43,105Y12M
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,98.71,2.91,95.64,28.16,19.97,8.18,40.97,105Y12M
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,104.45,2.82,141.48,31.16,22.83,8.33,36.5,105Y12M
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,116.95,2.52,45.89,36.79,17.25,19.54,113.27,106Y12M
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,107.67,2.43,230.1,35.93,16.28,19.65,120.74,106Y12M
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,120.97,2.5,70.29,31.23,17.29,13.93,80.57,106Y12M
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,105.51,2.46,185.26,34.11,10.54,23.56,223.48,106Y12M
