COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,DEAD_CNT,DEAD_M_CNT,DEAD_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,死亡數,死亡登記男性人口數,死亡登記女性人口數,資料時間
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,30,19,11,106Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,13,7,6,106Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,31,15,16,106Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,24,14,10,106Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,25,18,7,106Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,38,21,17,106Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,10,7,3,106Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,3,0,3,106Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,11,5,6,106Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,8,7,1,106Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,7,5,2,106Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,14,10,4,106Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,9,8,1,106Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,26,15,11,106Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,27,16,11,106Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,11,10,1,106Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,6,4,2,106Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,34,20,14,106Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,8,1,7,106Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,14,8,6,106Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,18,8,10,106Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,13,7,6,106Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,18,13,5,106Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,20,14,6,106Y
