COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M5_CNT,A15UP_M3_CNT,A15UP_M6_CNT,A15UP_M4_CNT,A15UP_M7_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶(不同性別)人口數,有偶(相同性別)人口數,離婚(不同性別)人口數,離婚(相同性別)人口數,喪偶(不同性別)人口數,喪偶(相同性別)人口數,資料時間
10014,臺東縣,10014010,臺東市,10014010-024,中山里,229,415,1,55,0,56,0,109Y
10014,臺東縣,10014010,臺東市,10014010-025,復國里,234,229,0,78,0,50,0,109Y
10014,臺東縣,10014010,臺東市,10014010-026,興國里,241,369,0,70,0,63,0,109Y
10014,臺東縣,10014010,臺東市,10014010-027,復興里,148,153,0,71,0,37,0,109Y
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,118,183,0,50,2,42,0,109Y
10014,臺東縣,10014010,臺東市,10014010-029,新園里,653,623,0,248,0,156,0,109Y
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,751,975,0,248,0,210,0,109Y
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,1130,1365,1,381,1,252,0,109Y
10014,臺東縣,10014010,臺東市,10014010-032,光明里,974,1261,1,295,1,174,0,109Y
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,536,723,0,143,0,112,0,109Y
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,780,1086,3,207,2,123,0,109Y
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,461,643,3,147,0,104,0,109Y
10014,臺東縣,10014010,臺東市,10014010-036,東海里,956,1308,2,291,0,237,0,109Y
10014,臺東縣,10014010,臺東市,10014010-037,新興里,344,387,0,134,0,102,0,109Y
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,3076,3840,9,876,1,584,0,109Y
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,1919,2279,3,583,0,416,0,109Y
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,846,1140,1,225,0,226,0,109Y
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,411,569,0,133,0,111,0,109Y
10014,臺東縣,10014010,臺東市,10014010-042,建和里,465,615,0,172,0,156,0,109Y
10014,臺東縣,10014010,臺東市,10014010-043,建興里,341,413,0,114,0,91,0,109Y
10014,臺東縣,10014010,臺東市,10014010-044,建業里,489,521,2,153,0,148,0,109Y
10014,臺東縣,10014010,臺東市,10014010-045,知本里,487,586,2,189,0,134,0,109Y
10014,臺東縣,10014010,臺東市,10014010-046,建農里,701,809,2,325,0,221,0,109Y
