COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,NATURE_INC_CNT,SOCIAL_INC_CNT,INC_CNT,ENTRY_P_CNT,EXIT_P_CNT,ENTRY_ADDR_CNT,EXIT_ADDR_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,自然增加人數,社會增加人數,總增加人數,遷入人口數,遷出人口數,鄉鎮區內住址變更之遷入人口數,鄉鎮區內住址變更之遷出人口數,資料時間
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,-11,-20,-31,29,44,11,16,105Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,-22,-36,-58,66,103,87,86,105Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,-13,-29,-42,43,61,33,44,105Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,-13,22,9,72,59,84,75,105Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,-35,3,-32,74,67,29,33,105Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,-9,-11,-20,23,35,13,12,105Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,-3,-5,-8,3,12,8,4,105Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,-10,-10,-20,34,33,10,21,105Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,-4,-2,-6,15,16,4,5,105Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,-1,6,5,13,15,10,2,105Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,-13,-28,-41,24,42,18,28,105Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,-2,-21,-23,2,19,3,7,105Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,-14,9,-5,64,49,39,45,105Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,-5,3,-2,77,92,72,54,105Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,-14,-3,-17,22,19,1,7,105Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,-8,12,4,16,12,14,6,105Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,-5,76,71,196,145,121,96,105Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,-1,8,7,29,20,4,5,105Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,-6,25,19,68,44,11,10,105Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,-11,-31,-42,41,65,6,13,105Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,-2,-14,-16,43,54,27,30,105Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,-18,-21,-39,33,47,16,23,105Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,-6,4,-2,66,65,12,9,105Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,-4,10,6,79,69,41,41,105Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,-2,-17,-19,12,29,3,3,105Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,-4,4,0,13,9,0,0,105Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,-6,-14,-20,76,89,10,11,105Y
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,-11,-7,-18,19,26,4,4,105Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,-11,0,-11,103,93,23,33,105Y
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,-1,10,9,19,10,13,12,105Y
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,-4,7,3,32,30,8,3,105Y
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,2,-6,-4,30,34,4,6,105Y
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,3,-34,-31,32,63,14,17,105Y
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,-7,-22,-29,24,45,10,11,105Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,-32,-9,-41,78,88,19,18,105Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,0,5,5,18,12,1,2,105Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,-16,-13,-29,38,50,19,20,105Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,-12,-22,-34,38,60,15,15,105Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,-27,-32,-59,102,129,39,44,105Y
