LCODE_C1,LCODE_C2,LCODE_C3,LCODEC_C1,LCODEC_C2,LCODEC_C3,METHOD,DATATIME,MDDI_ORG,Shape_Leng,Shape_Area,分類,area_ha
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,5009.987641280000389,228951.592894000001252,02森林利用土地,22.895159289399999
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,677.676450808000027,7243.077653020000071,02森林利用土地,0.724307765302000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,2077.233862080000108,17605.508665299999848,02森林利用土地,1.760550866530000
02,0202,000000,森林利用土地,闊葉林, ,1,201809,日陞空間資訊股份有限公司,32466.687648499999341,3002737.850000000093132,02森林利用土地,300.273784999999975
02,0203,000000,森林利用土地,竹林, ,0,201809,日陞空間資訊股份有限公司,99.032093172800003,705.740166012000032,02森林利用土地,0.070574016601200
02,0203,000000,森林利用土地,竹林, ,0,201809,日陞空間資訊股份有限公司,461.263988922000010,7528.123774939999748,02森林利用土地,0.752812377494000
02,0203,000000,森林利用土地,竹林, ,0,201809,日陞空間資訊股份有限公司,166.444249953999986,2054.831685959999959,02森林利用土地,0.205483168596000
02,0203,000000,森林利用土地,竹林, ,0,201809,日陞空間資訊股份有限公司,106.446390097999995,744.115645595000046,02森林利用土地,0.074411564559500
03,0301,000000,交通利用土地,機場, ,1,201809,日陞空間資訊股份有限公司,2986.585872520000066,17347.872495200001140,03交通利用土地,1.734787249520000
03,0301,000000,交通利用土地,機場, ,1,201809,日陞空間資訊股份有限公司,2493.205345240000042,68569.483865100002731,03交通利用土地,6.856948386510000
03,0308,000000,交通利用土地,一般道路, ,1,201809,日陞空間資訊股份有限公司,78892.518554399997811,240203.264563000004273,03交通利用土地,24.020326456300001
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,284.282239197000024,4849.040321340000446,03交通利用土地,0.484904032134000
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,77.595640178300002,191.530042083000012,03交通利用土地,0.019153004208300
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,46.032979328800003,75.876552487900000,03交通利用土地,0.007587655248790
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,109.890397995000001,366.961522666999997,03交通利用土地,0.036696152266700
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,1061.009693460000108,1125.588533260000077,03交通利用土地,0.112558853326000
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,64.802390953699998,125.000755781999999,03交通利用土地,0.012500075578200
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,4490.042256089999682,4317.909531229999629,03交通利用土地,0.431790953123000
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,63.076119391299997,96.208596280300000,03交通利用土地,0.009620859628030
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,147.699539941000012,780.086600681000050,03交通利用土地,0.078008660068100
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,282.927920461999975,2251.236652860000049,03交通利用土地,0.225123665286000
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,92.256028611299996,305.313503649999973,03交通利用土地,0.030531350365000
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,84.006316129699997,251.401582444000013,03交通利用土地,0.025140158244400
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,58.339096260600002,73.173441812799993,03交通利用土地,0.007317344181280
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,223.694592986000004,449.224256443000002,03交通利用土地,0.044922425644300
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,108.004458682999996,441.608100908999972,03交通利用土地,0.044160810090900
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,114.452334495000002,717.719952321000051,03交通利用土地,0.071771995232100
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,194.987251267000005,1024.323307699999987,03交通利用土地,0.102432330770000
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,425.114022391999981,5475.396113519999744,03交通利用土地,0.547539611352000
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,229.196189634999996,360.785607839000022,03交通利用土地,0.036078560783900
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,115.875411635999995,257.993137386000001,03交通利用土地,0.025799313738600
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,110.986186524999994,591.949866490999966,03交通利用土地,0.059194986649100
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,105.258206952999998,618.866045844000041,03交通利用土地,0.061886604584400
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,116.549931743000002,446.187192333999974,03交通利用土地,0.044618719233400
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,30.636866760699998,31.285708676900001,03交通利用土地,0.003128570867690
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,61.440649514800000,128.240876050999987,03交通利用土地,0.012824087605100
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,57.877781454800001,91.205679177199997,03交通利用土地,0.009120567917720
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,249.791014985999993,2686.545380370000203,03交通利用土地,0.268654538037000
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,86.528503069500005,559.737876634000031,03交通利用土地,0.055973787663400
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,138.983006531000001,540.322434082999962,03交通利用土地,0.054032243408300
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,117.858541633000002,361.114150226999982,03交通利用土地,0.036111415022700
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,30.978383831199999,56.597406379399999,03交通利用土地,0.005659740637940
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,37.439748252299999,84.547608537700000,03交通利用土地,0.008454760853770
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,98.499768541999998,313.168413741999984,03交通利用土地,0.031316841374200
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,149.282653549999992,527.736708174000000,03交通利用土地,0.052773670817400
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,57.219074398200000,159.545089154000010,03交通利用土地,0.015954508915400
03,0309,000000,交通利用土地,道路相關設施, ,1,201809,日陞空間資訊股份有限公司,218.112279809000000,463.751055994000012,03交通利用土地,0.046375105599400
03,0310,000000,交通利用土地,港口, ,1,201809,日陞空間資訊股份有限公司,393.649907072000019,2540.750531570000021,03交通利用土地,0.254075053157000
03,0310,000000,交通利用土地,港口, ,1,201809,日陞空間資訊股份有限公司,112.359823667000001,794.944365219000019,03交通利用土地,0.079494436521900
03,0310,000000,交通利用土地,港口, ,1,201809,日陞空間資訊股份有限公司,1081.062390609999966,10869.185273099999904,03交通利用土地,1.086918527310000
03,0310,000000,交通利用土地,港口, ,1,201809,日陞空間資訊股份有限公司,1488.885134760000028,8256.010438100000101,03交通利用土地,0.825601043810000
03,0310,000000,交通利用土地,港口, ,1,201809,日陞空間資訊股份有限公司,330.573116046999985,2267.914098050000121,03交通利用土地,0.226791409805000
03,0310,000000,交通利用土地,港口, ,1,201809,日陞空間資訊股份有限公司,1326.357300079999959,8142.564421889999721,03交通利用土地,0.814256442189000
